Emp_ID,First_Name,Last_Name,Gender,Marital_Status,Date_of_Birth,Age,Blood_Group,Hire_Date,Job Duration,Previous_Experience,Organizational_Level,Business_Unit,Contract_Type,Employee_Type,Employee_Status,Salary,Monthly_Working_Hour,Work_Accident,Job_Id,Performance_ID,Job_Satisfaction_ID,Location_ID,Department_ID,Race_ID,Education_ID,Applicant ID,Age Group,Recruitment Process,Job_Nature
1001,Jeffery,Gamble,Female,Married,27-10-76 0:00,47,B+,27-05-10 0:00,13,3,High Level,unit-8,Contract,Temporary,Terminated,170000,170,No,1,1,3,1,3,4,5,1035,41-50,RP,New
1001,Jeffery,Gamble,Female,Married,27-10-76 0:00,47,B+,27-05-10 0:00,13,2,High Level,unit-8,Contract,Temporary,Terminated,170000,170,No,1,1,3,1,3,4,5,1035,41-50,RP,New
1002,Misael,Hunter,Male,Divorced,2/10/1985 0:00,38,AB-,24-01-08 0:00,16,0,Mid Level,Unit-1,Contract,Full-Time,Terminated,13000,167,No,2,2,3,10,1,5,1,1906,31-40,RP,New
1002,Misael,Hunter,Male,Divorced,2/10/1985 0:00,38,AB-,24-01-08 0:00,16,0,Mid Level,Unit-1,Contract,Full-Time,Terminated,13000,167,No,2,2,3,10,1,5,1,1906,31-40,RP,Replacement
1003,Audrina,Yu,Male,Single,26-08-84 0:00,39,O-,13-10-18 0:00,5,0,Mid Level,Unit-2,Contract,Full-Time,Active,23000,194,Yes,3,3,2,12,4,1,2,1909,31-40,RP,New
1003,Audrina,Yu,Male,Single,26-08-84 0:00,39,O-,13-10-18 0:00,5,3,Mid Level,Unit-2,Contract,Full-Time,Active,23000,194,Yes,3,3,2,12,4,1,2,1909,31-40,RP,New
1004,Jeramiah,Foster,Female,Widowed,12/4/1988 0:00,35,O-,17-07-12 0:00,11,6,Mid Level,Unit-9,Contract,Temporary,Terminated,22000,181,No,4,3,3,2,2,4,3,1331,31-40,RP,New
1004,Jeramiah,Foster,Female,Widowed,12/4/1988 0:00,35,O-,17-07-12 0:00,11,1,Mid Level,Unit-9,Contract,Temporary,Terminated,22000,181,No,4,3,3,2,2,4,3,1331,31-40,RP,New
1005,Bruce,Wallace,Female,Married,17-05-77 0:00,46,B+,12/10/2007 0:00,16,2,Mid Level,Unit-5,Permanent,Full-Time,Active,22000,153,No,4,2,3,6,3,3,1,1911,31-40,RP,Replacement
1005,Bruce,Wallace,Female,Married,17-05-77 0:00,46,B+,12/10/2007 0:00,16,1,Mid Level,Unit-5,Permanent,Full-Time,Active,22000,153,No,4,2,3,6,3,3,1,1911,31-40,RP,New
1006,Giovani,Nelson,Male,Widowed,23-10-92 0:00,31,A+,16-09-18 0:00,5,0,High Level,Unit-7,Contract,Part-Time,Active,18000,175,No,5,1,4,8,6,5,3,1915,21-30,RP,New
1006,Giovani,Nelson,Male,Widowed,23-10-92 0:00,31,A+,16-09-18 0:00,5,3,High Level,Unit-7,Contract,Part-Time,Active,18000,175,No,5,1,4,8,6,5,3,1915,21-30,RP,Replacement
1007,Ari,Anthony,Female,Divorced,8/11/1985 0:00,38,B-,2/2/2014 0:00,9,0,High Level,Unit-9,Permanent,Temporary,Active,22000,118,Yes,4,4,3,7,5,1,2,1512,31-40,RP,New
