Emp_ID,Department_ID,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Marital_Status,Organizational_Level,Business_Unit,SL,CL,AL,ML,PL,LWP,CS,UL,TSL,TCL,TAL,TML,TPL,TP,TA,TLT,TND,Medical_Verification
1001,3,Laura,Randall,Male,27-Oct-76,19-Jun-08,Married,High Level,Unit-8,3,7,10,0,5,4,3,1,14,10,18,0,7,298,24,33,331,Yes
1005,3,Karen,Thompson,Male,17-May-77,7-Oct-08,Married,Mid Level,Unit-5,7,5,9,0,5,0,3,0,14,10,18,0,7,292,70,29,321,No
1002,1,Danielle,Moore,Male,10-Feb-85,2-Jan-08,Divorced,Mid Level,Unit-1,6,6,8,0,0,5,2,1,14,10,18,0,7,296,22,28,324,No
1021,3,Sherri,Edwards,Male,9-Jan-68,14-Jun-07,Divorced,High Level,Unit-6,8,7,11,0,0,4,3,0,14,10,18,0,7,297,58,33,330,No
1004,2,Christopher,Kelly,Male,4-Dec-88,8-Jul-08,Widowed,Mid Level,Unit-9,4,6,9,0,0,5,3,0,14,10,18,0,7,295,26,27,322,No
1003,4,Michael,Franco,Male,26-Aug-84,12-May-08,Single,Mid Level,Unit-2,1,5,8,0,0,0,2,0,14,10,18,0,7,291,31,16,307,No
1015,4,Michael,Russell,Male,25-Dec-94,27-Apr-07,Single,Operational,Unit-9,2,7,10,0,0,2,3,1,14,10,18,0,7,297,63,25,322,No
1017,3,William,Mayer,Male,29-Mar-91,30-Jun-08,Divorced,Mid Level,Unit-9,5,6,8,0,0,3,3,1,14,10,18,0,7,294,29,26,320,No
1014,3,Yolanda,Jackson,Male,4-Dec-83,19-Feb-07,Single,Operational,Unit-7,4,6,8,0,0,4,3,1,14,10,18,0,7,295,28,26,321,No
1007,5,Stephen,Campos,Male,11-Aug-85,26-Mar-07,Divorced,High Level,Unit-9,6,6,10,0,0,3,4,0,14,10,18,0,7,299,27,29,328,No
