Applicant ID,Department_ID,Job_Id,First Name,Organizational_Level,Gender,Date of Birth,Age,Age Group,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Recruiter,Recruitment Source,Recruitment Start Date,Applicant Status,Decision Status,Confirmation Date,Recruitment Time,Joined After offer,Recruitment Process
1906,2,3,Kim,Operational,Female,28-Nov-90,35,31-40,1722283779,bstephens@example.net,4233 Wilson Branch,West Cynthia,CT,51569,Falkland Islands (Malvinas),High School,13,76443.79,"Scientist, research (maths)",Fahim,BD jobs,13-Aug-08,Offered,Active,18-Sep-08,36,Yes,RP
1909,2,3,Robert,Operational,Female,23-Aug-04,34,31-40,1722265791,rebeccabennett@example.org,3215 William Parkway,Wallerstad,ND,33581,Iran,PhD,5,43911.64,Product manager,Giona,linked-In,23-Sep-07,Offered,Active,4-Nov-07,42,Yes,RP
1911,2,3,Ronald,Operational,Female,20-Jun-69,40,31-40,1722257434,walshdavid@example.org,32254 Lam Mountain Suite 860,Marychester,CT,25224,Ghana,Bachelor's Degree,17,59080.2,Herpetologist,Fahim,Employee Referral,4-Jun-07,Offered,Active,7-Jul-07,33,Yes,RP
1915,2,3,Kevin,Operational,Female,25-Jul-77,27,21-30,1722252920,jreed@example.com,019 Wilson Knolls,South Laura,MP,20710,Ecuador,Master's Degree,19,43641.62,Freight forwarder,Saria,In-house,22-Dec-07,Offered,Active,10-Feb-08,50,Yes,RP
1944,2,3,Karen,Operational,Female,29-Jan-71,22,21-30,1722258362,larsendeborah@example.org,496 Spencer Port,Lindseyborough,AL,26152,Zambia,Master's Degree,4,58779.94,"Surveyor, minerals",Juliana,BD jobs,17-Feb-08,Offered,Active,25-Mar-08,37,Yes,RP
1949,2,3,Jessica,Operational,Female,16-Aug-00,39,31-40,1722295215,jon40@example.net,9753 Conner Roads Apt. 409,New Judy,MT,63005,British Virgin Islands,High School,19,78582.15,Research scientist (life sciences),Juliana,BD jobs,16-Jun-08,Offered,Active,17-Jul-08,31,Yes,RP
2012,2,3,John,Operational,Female,31-May-99,38,31-40,1722315882,cmeyer@example.com,73145 Mann Viaduct Suite 729,Watkinsfort,MI,83672,Palestinian Territory,High School,16,84987.84,IT sales professional,Juliana,linked-In,23-Sep-08,Offered,Active,15-Nov-08,53,Yes,RP
2019,2,3,Carl,Operational,Female,10-Oct-69,38,31-40,1722251513,joseph45@example.org,9567 Pierce Radial,Kimberlyburgh,FM,19303,Bulgaria,Master's Degree,13,52037.75,Actor,Juliana,BD jobs,13-Jan-08,Offered,Active,18-Feb-08,36,Yes,RP
2034,2,3,Angela,Operational,Female,10-Jan-68,40,31-40,1722284195,jose11@example.net,854 Hunter Island Suite 060,East Paul,CA,51985,Mongolia,Master's Degree,20,33735.24,Public relations officer,Juliana,BD jobs,14-Feb-08,Offered,Active,7-Apr-08,53,Yes,RP
2083,2,3,Jennifer,Operational,Female,5-Jul-69,34,31-40,1722290316,ratkinson@example.org,975 Mark Cape Apt. 378,East Maryview,RI,58106,Yemen,High School,7,43142.14,"Designer, jewellery",Juliana,BD jobs,7-Mar-07,Offered,Active,11-Apr-07,35,Yes,RP
